Output File,Cost J,Overshoot,Settling Time (s),Steady-State Error
kp11.0_kd5.0_ki4.4.csv,31.4603879464,-0.012942000000000009,5.57,0.012942000000000009
kp13.0_kd9.0_ki4.0.csv,31.811937618600002,-0.016118999999999994,5.58,0.016118999999999994
kp9.0_kd5.0_ki4.0.csv,31.847186714600006,-0.012010999999999994,5.61,0.012010999999999994
kp9.0_kd13.0_ki6.0.csv,31.901608340000006,0.06553000000000009,5.61,0.00018999999999991246
kp7.0_kd11.0_ki6.0.csv,31.991221282499996,0.0781400000000001,5.6,0.0028730000000000144
kp11.0_kd7.0_ki4.0.csv,32.2236775656,-0.014233999999999969,5.63,0.014233999999999969
kp9.0_kd15.0_ki4.8.csv,34.7976225,0.051549999999999985,5.86,0.008769999999999945
kp7.0_kd13.0_ki4.4.csv,36.41386481000001,0.0519099999999999,6.0,0.007600000000000051
kp15.0_kd5.0_ki4.8.csv,36.706199625,-0.01782499999999998,5.99,0.01782499999999998
kp15.0_kd7.0_ki4.4.csv,36.81919406500001,-0.01900500000000005,5.99,0.01900500000000005
kp13.0_kd5.0_ki4.4.csv,38.033784,-0.017800000000000038,6.1,0.017800000000000038
kp15.0_kd9.0_ki4.0.csv,38.8619787136,-0.02114400000000005,6.14,0.02114400000000005
kp11.0_kd5.0_ki4.0.csv,40.0181547354,-0.017873000000000028,6.26,0.017873000000000028
kp13.0_kd7.0_ki4.0.csv,40.085617079399995,-0.019836999999999994,6.25,0.019836999999999994
kp5.0_kd11.0_ki4.0.csv,41.61860101,0.0557399999999999,6.42,0.006050000000000111
kp5.0_kd11.0_ki6.0.csv,41.767724359999995,0.1315599999999999,6.3,0.011780000000000013
kp9.0_kd15.0_ki5.2.csv,42.23676980999999,0.06390999999999991,6.46,0.006219999999999892
kp5.0_kd11.0_ki5.6.csv,43.2357869225,0.11756000000000011,6.45,0.01002499999999995
kp7.0_kd13.0_ki4.8.csv,43.25241860999999,0.06594000000000011,6.54,0.004289999999999905
